country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Kenya,KEN,21.56078,13.4,2332967.0,3047948.8,648093.5,3.1,921.1667,1816.0,95503090000.0,0.518,,-0.39381814,94.478,10.7,,
Kiribati,KIR,28.34652,28.4,19146.0,41994.54,,22.5,,1655.0,194647200.0,0.479,4,1.466667,147.464,47.0,0,1
Kosovo,RKS,10.700233,,,,,,,,,,1,42.55,,,2,3
Kuwait,KWT,26.88486,17.4,2553287.8,2865750.5,2662521.0,12.2,,32031.0,134761200000.0,0.576,3,29.166668,239.65,22.5,0,3
Kyrgyzstan,KGZ,9.287596,24.9,697218.5,970554.06,,6.1,,1309.0,8454619600.0,0.58,1,41.0,34.016,26.5,0,1
Laos,LAO,27.102043,27.0,1234972.5,1644926.6,406982.44,6.4,,2534.0,18173840000.0,0.452,4,18.2,31.523,28.9,0,2
Latvia,LVA,7.48688,21.9,622610.56,680847.44,2148835.8,5.0,,17818.0,34398216000.0,0.724,2,57.0,30.4,37.0,0,2
Lebanon,LBN,19.225985,17.9,1087060.6,1368940.9,4333816.0,11.2,,7784.0,53367042000.0,0.538,2,33.833332,667.199,33.8,2,2
Lesotho,LSO,14.461038,26.6,384851.72,324349.72,,4.5,,1157.0,2460072400.0,0.371,1,-29.55,70.562,26.7,2,1
Liberia,LBR,26.20536,17.6,309155.84,291149.66,,2.4,,621.0,3070518000.0,0.319,2,6.533333,52.509,9.8,0,3
Libya,LBY,21.134626,20.1,665182.4,1435406.9,,10.2,265.73685,7683.0,52076250000.0,,,31.325983,3.905,,,
Liechtenstein,LIE,8.037839,,14536.735,16367.251,36243.348,9.4,,173356.0,6552858600.0,,3,47.145,242.1,,1,3
Lithuania,LTU,7.711974,20.7,1105914.6,1204992.1,2899796.5,3.8,,19116.0,53411967000.0,0.712,2,55.2,44.7,28.8,0,2
Luxembourg,LUX,8.600475,10.0,18600.334,302940.22,1938641.6,5.0,,116348.0,70862635000.0,0.692,3,49.77,235.1,23.5,0,3
Macau,MAC,23.448893,,249000.84,301497.6,,4.3,22.0,84096.0,53859115000.0,0.759,3,22.166668,21717.123,,0,3
Macedonia,MKD,,20.3,432383.62,451560.1,382530.12,9.3,,6093.0,12694823000.0,0.534,,,83.4,,,
Madagascar,MDG,20.269386,22.9,541824.0,298706.9,141888.16,4.5,,522.0,14083907000.0,0.374,4,-20.0,47.596,,2,1
Malawi,MWI,19.956324,16.4,514001.1,840020.1,96083.04,4.5,,411.0,7666704400.0,0.407,1,-13.0,202.906,14.5,0,3
Malaysia,MYS,26.952854,17.2,1578165.2,1802175.1,1140986.1,16.7,1965.0,11414.0,364701500000.0,0.622,,4.102808,98.512,21.5,,
Maldives,MDV,28.900023,13.4,265931.25,312390.6,786566.56,9.2,,10790.0,5729248000.0,,,4.18,1801.807,28.3,,
Mali,MLI,29.324732,24.6,239257.11,429992.34,,2.4,,890.0,17510142000.0,0.317,1,17.0,16.596,12.3,0,3
Malta,MLT,18.348007,10.8,294991.56,324596.16,889176.3,8.3,,30090.0,14606972000.0,0.701,3,35.88333,1548.3,25.5,0,3
Marshall Islands,MHL,28.249788,,15149.315,18469.256,,30.5,,3788.0,221278000.0,,,9.82,328.856,,,
Martinique,MTQ,27.140003,,,,,,,,,,,14.65,354.024,,,
Mauritania,MRT,30.148148,18.1,422438.25,617144.9,180901.84,7.1,,1677.0,7593752600.0,0.353,1,21.0,4.511,,0,3
Mauritius,MUS,23.42974,22.6,638245.6,662287.5,,22.0,,11203.0,14180444000.0,0.626,2,-20.2,626.486,21.6,0,3
Mayotte,MYT,27.24292,,,,,,,,,,,-12.843056,727.501,,,
Mexico,MEX,21.998983,15.7,31862748.0,40830524.0,5148484.0,13.5,1367.2205,9863.0,1258286700000.0,0.607,,19.804237,66.325,14.0,,
Micronesia,FSM,,26.1,,,,11.9,,3568.0,401932300.0,,,12.0,164.316,,,
Moldova,MDA,10.441766,24.9,622907.5,301665.5,,5.7,,4498.0,11955436000.0,0.58,3,47.25,122.799,24.2,0,2
